"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Armenia",461,"Syunik","2019",12.02,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2019",13.41,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2019",2.15,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2019",13.51,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2018",3.24,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2018",7.63,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2018",7.08,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2018",0.15,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2018",1.05,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2018",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2018",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2018",1.57,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2018",1.69,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2018",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2018",36.48,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2017",3.67,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2017",1.52,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2017",17.43,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2017",0.35,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2017",1.13,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2017",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2017",0.11,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2017",1.67,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2017",1.52,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2017",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2017",21.62,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2016",0.21,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2016",0.65,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2016",6.08,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2016",0.00,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2016",0.00,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2016",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2016",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2016",0.00,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2016",0.00,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2016",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2016",8.10,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2015",3.13,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2015",1.09,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2015",13.44,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2015",11.69,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2015",1.96,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2015",0.22,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2015",0.35,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2015",10.44,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2015",1.01,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2015",0.83,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2015",22.97,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2014",15.67,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2014",3.38,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2014",14.16,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2014",0.25,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2014",6.63,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2014",0.89,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2014",0.99,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2014",0.04,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2014",17.31,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2014",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2014",24.32,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2013",3.56,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2013",0.32,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2013",3.72,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2013",0.05,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2013",0.98,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2013",0.07,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2013",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2013",0.66,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2013",2.20,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2013",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2013",1.35,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2012",15.13,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2012",7.63,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2012",32.06,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2012",0.71,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2012",8.14,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2012",0.44,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2012",0.41,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2012",0.09,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2012",16.29,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2012",0.11,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2012",50.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2011",0.00,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2011",0.00,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2011",0.00,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2011",0.05,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2011",0.00,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2011",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2011",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2011",0.00,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2011",0.00,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2011",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2011",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2010",0.00,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2010",0.00,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2010",0.00,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2010",0.05,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2010",0.00,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2010",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2010",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2010",0.19,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2010",0.00,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2010",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2010",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2009",0.00,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2009",0.10,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2009",0.45,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2009",0.10,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2009",0.00,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2009",0.81,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2009",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2009",1.14,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2009",20.03,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2009",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2009",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2008",11.35,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2008",4.25,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2008",7.26,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2008",0.00,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2008",3.31,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2008",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2008",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2008",0.04,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2008",0.00,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2008",0.47,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2008",14.86,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2007",0.00,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2007",0.54,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2007",0.99,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2007",0.15,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2007",0.22,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2007",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2007",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2007",18.51,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2007",1.86,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2007",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2007",2.70,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2006",0.10,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2006",5.67,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2006",0.45,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2006",20.12,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2006",10.93,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2006",0.22,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2006",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2006",40.45,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2006",0.50,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2006",9.43,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2006",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2005",0.00,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2005",0.00,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2005",0.00,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2005",0.15,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2005",0.00,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2005",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2005",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2005",3.19,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2005",0.00,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2005",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2005",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2004",0.00,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2004",0.00,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2004",9.71,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2004",16.80,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2004",0.00,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2004",2.37,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2004",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2004",0.23,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2004",12.39,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2004",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2004",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2003",12.97,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2003",3.05,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2003",0.54,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2003",18.59,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2003",14.40,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2003",2.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2003",19.36,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2003",3.67,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2003",11.71,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2003",8.36,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2003",14.86,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2002",0.00,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2002",0.00,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2002",0.00,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2002",2.40,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2002",0.00,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2002",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2002",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2002",0.04,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2002",0.00,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2002",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2002",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2001",0.21,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2001",37.07,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2001",1.90,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2001",15.42,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2001",0.22,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2001",0.07,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2001",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2001",12.26,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2001",0.00,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2001",11.70,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2001",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2000",0.00,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2000",0.21,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2000",0.09,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2000",0.10,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2000",0.00,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2000",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2000",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2000",0.00,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2000",0.84,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2000",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2000",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","1999",1.18,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","1999",14.50,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","1999",0.63,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","1999",3.01,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","1999",0.00,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","1999",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","1999",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","1999",0.33,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","1999",0.00,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","1999",2.74,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","1999",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","1998",0.00,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","1998",0.21,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","1998",0.00,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","1998",0.51,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","1998",0.45,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","1998",0.14,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","1998",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","1998",0.00,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","1998",4.07,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","1998",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","1998",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","1997",17.40,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","1997",2.61,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","1997",5.17,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","1997",3.32,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","1997",0.45,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","1997",2.97,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","1997",47.41,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","1997",5.58,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","1997",1.01,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","1997",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","1997",0.00,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","1996",10.37,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","1996",7.52,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","1996",17.34,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","1996",7.61,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","1996",6.56,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","1996",0.07,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","1996",0.17,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","1996",1.43,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","1996",0.34,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","1996",8.84,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","1996",9.45,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","1995",1.94,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","1995",0.98,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","1995",0.00,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","1995",2.14,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","1995",0.15,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","1995",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","1995",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","1995",0.00,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","1995",0.00,"VHI % below 35 "
